sex,gravid,morph,capture_temp,substrate_temp,scars,ticks,mites,mass,svl,head_length,head_width,head_depth,bicep_length,forearm_length,hand_finger_length,femur_length,tibia_length,toe,autotomy,substrate_type
0,n,w,32.9,29.3,8,0,0,4.6,56.94,14.84,7.92,5.74,6.94,5.56,8.55,11.72,10.32,16.98,0,
0,n,w,28.2,31.5,17,0,219,8.5,66.94,16.54,8.77,6.94,6.84,6.84,9.51,13.5,10.86,17.27,1,
1,,w,31.8,25.3,9,0,0,9.2,71.08,18.13,9.35,8.02,8.55,8.2,9.07,16.94,12.36,20.31,1,
1,,w,33.3,32.7,5,0,18,8,64.87,17.05,9.83,6.61,6.84,6.86,8.72,15.06,11.05,17.53,1,
0,n,w,31.2,29.8,8,0,56,6.2,65.31,16.36,8.63,6.39,7.08,6.77,8.65,14.92,11.36,16.84,1,
1,,w,30.6,26.2,6,0,5,9.7,68.14,18.71,10.45,8.32,8.69,8.44,10.09,14.75,11.63,20.61,1,
1,,w,28.7,29.8,5,0,41,10.5,70.93,20.4,10.2,7.82,8.05,7.48,9.79,15.1,13.47,20.9,0,
1,,w,31.1,36.5,7,0,8,11.3,74.8,19.79,9.7,8.8,7.99,8.46,9.97,15.62,13.55,20.66,1,
0,n,w,26.8,22.2,13,0,14,6.6,75.46,17.23,8.6,6.6,7.22,7.23,8.3,14.51,11.17,17.78,1,
1,,w,28.1,27.2,8,0,0,10.1,73.9,19.26,10.3,8.27,7.77,8.32,9.68,15.99,12.91,19.95,0,
1,,w,26.3,35.5,3,0,0,7.3,62.68,17.57,9.32,6.18,7.75,7.76,9.68,14.66,12,19.44,1,
1,,w,28.9,23.7,9,0,740,10,74.69,19.2,10.17,7.86,7.79,8.35,10.47,16.9,13.06,20.46,1,
1,,w,35.5,33.2,5,3,38,7.4,64.26,17.18,9.75,7.26,7.13,7.2,9.31,14.51,11.2,19.43,1,
0,y,w,31,33.5,5,0,25,6.4,61.94,14.17,8.68,5.88,6.09,6.03,7.8,12.81,10.24,16.72,0,
0,y,w,30.4,37.1,19,0,0,6.3,61,15.58,8.35,6.5,6.2,6.2,8.53,13.04,10,16.56,1,
0,y,y,30,31.6,11,0,40,5.4,58.24,14.04,7.48,5.52,6.72,6.24,7.75,12.75,10.03,15.99,1,
0,y,w,34.4,33.3,24,0,44,8.8,73.49,17.2,9.1,5.96,7.38,7.39,8.91,13.79,10.79,17.27,1,
1,,w,30.9,32.6,4,0,154,10,72.27,19.6,10.01,7.91,8.13,8.14,10.04,16.62,12.82,20.08,1,
1,,o,31.8,26.9,4,0,109,10.6,72.83,19.65,10.09,8.23,8.03,7.62,10.6,16.63,12.73,21.15,1,
1,,w,32.3,28.2,3,1,161,12.2,76,19.89,11.04,8.82,8.49,7.86,10.38,16.91,13.36,21.41,1,
0,y,w,29.4,34,21,0,41,9.1,72.68,18.52,8.62,6.73,7.11,7.6,10.06,15.48,12.74,18.95,1,
1,,w,33.2,28.8,6,4,19,6,63.8,17.01,8.88,6.77,7.59,7.61,9.54,12.77,12.27,19.34,1,
1,,w,32.4,34.1,5,1,34,8.9,69.67,18.83,9.97,7.79,7.45,7.93,7.7,15.66,12,19.98,1,
1,,w,34.3,34.6,7,0,51,8.2,65.05,18.08,9.5,6.06,7.48,7.7,10.07,15.63,11.39,19.66,0,
1,,w,32.3,24.1,8,0,114,8.6,72.99,20.26,10.12,7.27,8.28,8.18,10.57,16.22,12.04,20.93,1,
0,y,w,35.6,33.3,9,0,37,5.7,68,17.1,8.43,6.14,7.71,7.5,8.4,13.26,10.36,17.26,1,
0,y,w,30.5,27.8,10,0,72,7,67.43,17.08,8.45,5.96,7.1,6.36,8.75,14.15,11.22,17.72,0,
0,n,y,35.6,45.8,8,31,19,7.4,69.52,16.46,8.34,6.77,7.07,7.06,8.7,13.12,10.78,16.7,1,
0,y,o,33.2,36.8,4,0,0,6.8,72.15,16.28,8.26,6.64,6.58,6.5,7.68,12.83,10.96,16.5,1,
0,y,o,31.5,32.9,10,0,0,6.2,66.84,16.54,8.63,6.3,8.23,6.53,8.29,14.34,10.48,17.13,1,
1,,y,32.5,28.1,5,0,0,10.7,72.74,19.1,11.1,8.4,7.82,7.83,9.51,16.91,12.19,19.61,1,
